Rule_ID,Rule_Category,Rule_Level,Applies_To,Primary_Source,Secondary_Source,Input_Fields,Rule_Condition_IF,Rule_Action_THEN,Logic_or_Matching_Method,Validation_or_Control,Priority,Severity,Exception_Action,Audit_Evidence,Notes
ACT001,PromiseToPay,High,Post-call extraction (transcript),app/agents/postcall_agent/tools/act001_promise_to_pay.py,SYSTEM_PROMPT,"user_name; transcript","found=true IF customer makes a CLEAR, SPECIFIC, COMMITTED promise to pay the FULL balance by a SPECIFIC DATE","Return populated action record with amount, date, notes, description, delivery_channel (default Email)","Prompt-based semantic extraction via run_tool","Require explicit date + full-balance language; partial -> ACT005; conditional -> ACT007",P1,High,"Do NOT fire for vague language; route to ACT005 or ACT007 where applicable","Generated ACT001Result dict (fields + transcript snippet)",Must be full balance + explicit date; partials -> ACT005; conditional payment -> ACT007
ACT002,Escalation,Medium,Post-call extraction (transcript/agent actions),app/agents/postcall_agent/tools/act002_escalation.py,SYSTEM_PROMPT,"user_name; transcript","found=true IF customer requests or agrees to callback from senior/manager/supervisor OR agent escalates call","Return populated action record with notes, escalation_level (default L1), escalated_to_role, target_resolution_date, due_by","Prompt-based semantic extraction via run_tool","Default escalation_level to L1 when unspecified; extract exact role/date when present",P2,Medium,"If no escalation -> found=false; still capture other actions if present","Generated ACT002Result dict (fields + transcript snippet)",Escalation includes both customer request and agent-initiated escalation
ACT003,Dispute,High,Post-call extraction (transcript),app/agents/postcall_agent/tools/act003_dispute.py,SYSTEM_PROMPT,"user_name; transcript","found=true IF customer contests or challenges a charge/invoice or service not delivered","Return populated action record with dispute_reason, invoice_number, resolution_status (default Pending)","Prompt-based semantic extraction via run_tool","Default resolution_status=Pending; require explicit contesting language; extract invoice number when present",P1,High,"If not a dispute -> found=false; escalate to manual review if ambiguous","Generated ACT003Result dict (fields + transcript snippet)",Examples in prompt show phrasing to match; invoice id extraction recommended
ACT004,DocumentCopy,Low-Medium,Post-call extraction (transcript),app/agents/postcall_agent/tools/act004_document_copy.py,SYSTEM_PROMPT,"user_name; transcript","found=true IF customer requests a document be sent (email/post/other)","Return populated action record with documents_requested, document_type, delivery_channel (default Email)","Prompt-based extraction via run_tool","Default delivery_channel Email; separate from ACT008; capture regardless of fulfillment",P3,Low,"Treat as request even if agent says cannot send; capture as ACT004","Generated ACT004Result dict (fields + transcript snippet)",Documents_requested as list; channel fallback to Email
ACT005,PartialPayment,High,Post-call extraction (transcript),app/agents/postcall_agent/tools/act005_partial_payment.py,SYSTEM_PROMPT,"user_name; transcript","found=true IF customer commits to paying a SPECIFIC AMOUNT LESS THAN full balance","Return populated action record with amount, date, payment_method","Prompt-based numeric and date extraction via run_tool","ACT005 ALWAYS takes priority over ACT001 when amount is partial",P1,High,"If amount partial but ambiguous -> mark found=false and flag for manual review","Generated ACT005Result dict (fields + transcript snippet)",Explicit amount required; payment method optional
ACT006,DoubtfulReceivable,High,Post-call extraction (transcript),app/agents/postcall_agent/tools/act006_doubtful_receivable.py,SYSTEM_PROMPT,"user_name; transcript","found=true WHEN customer says they CANNOT or WILL NOT make any payment (initial refusal)","Return populated action record with notes, settlement_amount, settlement_due_date","Trigger-phrase matching + semantic detection; must fire first and coexist with others","MUST fire first for initial refusal; coexists with other actions; capture settlement details if present",P1,Critical,"Always fire even if later commitments occur; record coexistence with other actions","Generated ACT006Result dict (fields + transcript snippet)",Initial refusal must be retained even if later changed
ACT007,CreditRequest,Medium-High,Post-call extraction (transcript),app/agents/postcall_agent/tools/act007_credit_request.py,SYSTEM_PROMPT,"user_name; transcript","found=true IF customer asks for discount/credit/adjustment OR makes payment conditional on receiving credit","Return populated action record with requested_amount, reason, requested_date","Prompt-based semantic extraction via run_tool","Conditional payment statements ALWAYS trigger ACT007",P2,High,"Conditional payments always mapped to ACT007 even if subsequent actions occur","Generated ACT007Result dict (fields + transcript snippet)",Requested_amount may be percentage or currency; reason extracted
ACT008,OtherCustomerRequest,Low,Post-call extraction (transcript),app/agents/postcall_agent/tools/act008_other_request.py,SYSTEM_PROMPT,"user_name; transcript","found=true FOR any customer request NOT covered by ACT001–ACT007","Return populated action record with request_details, preferred_time","Prompt-based classification into catch-all request category","Separate from ACT004 when both inquiry and send-request exist; create both",P3,Low,"If overlapping with other ACTs, split into separate actions as specified","Generated ACT008Result dict (fields + transcript snippet)",Catch-all; ensure not to conflate with payment/credit/escalation/dispute/docs
ACT009,UpdateContactInfo,Low,Post-call extraction (transcript/system update),app/agents/postcall_agent/tools/act009_email_change.py,SYSTEM_PROMPT,"user_name; transcript","found=true IF customer provides updated contact info or requests contact info update (differs from system)","Return populated action record with request_details, preferred_time","Prompt-based detection of contact-update intents","Fire when user provides correct contact details differing from system; require presence of new contact data for validation",P3,Low,"If ambiguous or conflicting contact info -> flag for verification; do not auto-apply without verification","Generated ACT009Result dict (fields + transcript snippet)",ACT009 is specialized for contact updates
PRECALL_CALLONE,Precall_LISA_CallOne,High,Pre-call system prompt (live call script),app/agents/precall_agent/call_one.py,get_prompt(user_data),"user_data","Rules & instructions defined in LISA system prompt for initial call: verification, debt statement, payment scenarios, special requests, refusal handling, closing summary","Use as system prompt for voice agent; guide verification, what to say and when","Static prompt rules + dynamic context insertion; enforcement via runtime prompt","Must verify identity before disclosing PII; date calculation via calculate_date helper",P1,High,"If wrong person -> end call; if email unknown -> escalate for verification","Generated system prompt string used in get_prompt; logged when call starts",Contains conversation flow, verification and mandatory summary requirements
PRECALL_CALLTWO,Precall_LISA_CallTwo,High,Pre-call follow-up system prompt (call two),app/agents/precall_agent/call_two.py,get_prompt(user_data),"user_data","Follow-up call rules: contextual continuity, handling missed promises, disputes, renegotiation, special requests, closing summary","Use as system prompt for follow-up voice agent; reference previous interaction","Static prompt rules + dynamic context insertion; enforcement via runtime prompt","Must reference previous interaction context in greeting; privacy rules apply",P1,High,"If info missing -> avoid inventing data; escalate for account updates","Generated system prompt string used in get_prompt; logged when call starts",Focused on follow-up and continuity; uses previous call context
CALLING_AGENT,VoiceAgent_HandleVoiceAgent,Critical,Real-time voice pipeline (live call),caller.py,app/agents/precall_agent/call_one.py; app/agents/precall_agent/call_two.py,"websocket_client; stream_sid; call_sid; user_data; transcripts","Sets up live pipeline, selects system prompt (call_one/call_two) based on user_data.call_type, runs LLM/STT/TTS, records transcript, and reports results","Configure transports, LLM/STT/TTS services; run pipeline; capture tool calls and messages","Runtime orchestration code using Pipecat pipeline and LLM services; tool call capture via assistant_aggregator","Validate system_prompt generation success; log failures and audio recording status",P0,Critical,"On script generation failure -> log and raise; on audio upload failure -> log and continue/raise as appropriate","Call transcript and recording info saved via blob_manager; report_call_result invoked",Orchestrates real-time voice agent; integrates prompts, recording, and post-call reporting
